round_number,proposal_index,proposer,proposer_group,proposer_institution,proposer_mean_prop,proposer_zero_share,proposer_mean_rep,proposer_n_gossip,rule,new_value,category,direction_vs_param_default,reason,adopted,shock_round,record_id,proposer_prop_prev3
5,0,3,developing,SFI,0.5066180774698342,0.1,5.396,2,SUBSIDY_TOP_N,5.0,reward_subsidy,increase,Increasing the number of top contributors who share the subsidy pool to 5 will incentivize cooperation and trust by rewarding a broader range of community members for their contributions.,1,1,CC-R05-P0,0.01868118359026043
5,1,24,developed,SI,0.3718810687333992,0.0666666666666666,4.843999999999999,2,SUBSIDY_FRACTION,0.5,reward_subsidy,increase,"Increasing the subsidy fraction will incentivize cooperation and reduce punishment, promoting a more sustainable community.",0,1,CC-R05-P1,0.43369583056998146
10,0,0,developed,SI,0.5604743484802527,0.1,4.6160000000000005,2,SUBSIDY_FRACTION,0.5,reward_subsidy,increase,"Increasing the subsidy fraction will incentivize cooperation by providing a greater reward for SI contributors, which is crucial for building trust and sustainability in this public goods game.",1,1,CC-R10-P0,1.1627725495523242
15,0,4,developed,SI,0.5868830435139787,0.0666666666666666,4.876,2,SUBSIDY_TOP_N,10.0,reward_subsidy,increase,"Increasing the number of top contributors who share the subsidy pool to 10 will incentivize cooperation and reduce competition among agents, promoting trust and collective welfare.",0,0,CC-R15-P0,0.26763113230330315
15,1,23,developing,SFI,0.3844552304737357,0.1333333333333333,4.842666666666668,4,LDF_EQUITY_WEIGHT,1.0,ldf_equity,increase,"Increasing the weight on equity will prioritize poorer nations, promoting more equitable distribution of LDF payouts and potentially increasing overall trust among agents.",1,0,CC-R15-P1,0.8663190932993675
20,0,17,developing,SFI,0.3569310654080591,0.0666666666666666,5.210666666666667,1,PUNISHMENT_EFFECT,2.0,punishment_weakening,decrease,"Reducing the punishment effect will incentivize agents to cooperate more and reduce the likelihood of toxic behavior, leading to a more sustainable collective payoff.",1,0,CC-R20-P0,0.16595828903579476
20,1,3,developing,SFI,0.5066180774698342,0.1,5.396,2,SUBSIDY_FRACTION,0.7,reward_subsidy,increase,"Reducing the subsidy fraction will incentivize top contributors to maintain their high cooperation levels, thereby promoting trust and sustainability within the community.",0,0,CC-R20-P1,1.0808847101467531
25,0,18,developed,SI,0.3116856278412487,0.0666666666666666,4.904,1,SUBSIDY_FRACTION,0.8,reward_subsidy,increase,"Reducing the subsidy fraction will incentivize cooperation and reduce free-riding behavior, promoting a more sustainable community",1,0,CC-R25-P0,0.05009516496206546
30,0,0,developed,SI,0.5604743484802527,0.1,4.6160000000000005,2,SUBSIDY_FRACTION,1.0,reward_subsidy,increase,"Increasing the subsidy fraction will incentivize cooperation by providing a more substantial reward to top contributors, promoting trust and sustainable behavior within the community.",1,0,CC-R30-P0,0.4381397934797473
30,1,19,developed,SI,0.1689455676260504,0.2333333333333333,4.293333333333334,6,SUBSIDY_FRACTION,0.9,reward_subsidy,increase,"Increasing the subsidy fraction will incentivize more punishment and reward actions, promoting accountability and cooperation within the community.",0,0,CC-R30-P1,0.0379775904908029
