agent_id,round_number,contribution,prop_of_wealth,wealth_eor,is_zero,reputation,shock_occurred,ldf_payout_round,evidence_id,contribution_reasoning
0,4,0.0,0.0,19775739.2,True,5.0,0,0.0,RB-04-A0-contribution,"Given my high current wealth and no significant past contributions, I choose to contribute nothing this round."
0,5,2000000.0,0.0822365400302531,24320089.33333333,False,1.36,1,0.0,RB-05-A0-contribution,"I'm choosing a moderate contribution to balance individual and collective interests, considering my institution's strategy and past contributions."
0,6,0.0,0.0,31966882.266666666,True,5.0,0,0.0,RB-06-A0-contribution,"Based on previous round data, I observed that most high contributors used the SI strategy, but given my current situation and MCPR, contributing nothing maximizes my payoff."
0,7,31966882.0,2.6028956674542485,12281276.733333334,False,1.0,0,0.0,RB-07-A0-contribution,I chose to contribute my full budget as it maximizes my payoff and aligns with the SI strategy.
4,4,3000000.0,0.2521456078353138,11897887.2,False,7.52,0,0.0,RB-04-A4-contribution,"Given my institution's history and high marginal return, I choose to contribute a significant amount."
4,5,8000000.0,0.7659602417485418,10444406.333333332,False,3.16,1,0.0,RB-05-A4-contribution,High marginal return to me per unit contributed and previous rounds' data suggest a cooperative strategy is optimal.
4,6,6000000.0,0.4958782489750031,12099744.266666666,False,5.0,0,0.0,RB-06-A4-contribution,Contributing this amount balances my desire to contribute meaningfully while also considering the potential impact on my future Stage 2 budget.
4,7,10000000.0,0.6932401931550194,14425014.733333332,False,5.12,0,0.0,RB-07-A4-contribution,Contributing this amount maximizes my payoff given the current decision card and previous-round peer data.
6,4,0.0,0.0,14029548.2,True,6.56,0,0.0,RB-04-A6-contribution,"Based on previous rounds' data, I observed that high contributions from peers with SI strategy do not necessarily correlate with higher cumulative payoffs."
6,5,4000000.0,0.2413140466835295,16575910.333333332,False,1.0,1,0.0,RB-05-A6-contribution,"Given my institution's strategy and previous rounds' data, I choose to contribute a moderate amount to maximize cumulative payoff."
6,6,4102865.0,0.2038543273337925,20126455.266666666,False,5.0,0,0.0,RB-06-A6-contribution,Contribute at the group average level to maximize cumulative payoff and avoid punishment.
6,7,0.0,0.0,32432568.73333333,True,5.0,0,0.0,RB-07-A6-contribution,Contributing nothing maximizes my payoff given the low marginal return and high vulnerability index.
7,4,5000000.0,0.4761163290075054,10501635.2,False,1.0,0,0.0,RB-04-A7-contribution,"I'm choosing a moderate contribution to balance between cooperation and self-interest, considering my institution's history and the marginal return."
7,5,2629141.0,0.1823405683463624,14418848.333333332,False,5.72,1,0.0,RB-05-A7-contribution,Contribute a moderate amount based on past contributions and my institution's strategy.
7,6,7000000.0,0.4644340619497272,15072107.266666666,False,5.0,0,0.0,RB-06-A7-contribution,"Contributing a moderate amount balances self-interest and cooperation, given high marginal return and peer contributions."
7,7,7000000.0,0.3433113215955367,20389656.73333333,False,5.0,0,0.0,RB-07-A7-contribution,"Given my institution's SI strategy and historical high contributions, I choose a moderate contribution to maintain consistency."
14,4,3000000.0,0.3439249531906674,8722833.2,False,5.36,0,0.0,RB-04-A14-contribution,"Maximizing cumulative payoff requires balancing cooperation and self-interest, considering past contributions and outcomes."
14,5,8000000.0,1.1005353737748291,7269189.333333333,False,5.0,1,0.0,RB-05-A14-contribution,"Based on previous rounds' data, high contributors have a strong presence in SI institution and contribute significantly to emissions reduction."
14,6,4000000.0,0.3663387356981052,10918856.266666666,False,4.76,0,0.0,RB-06-A14-contribution,"Following my institution's strategy of high contributions being rewarded, I choose to contribute a moderate amount."
