evidence_id,round_number,agent_id,institution_choice,kind,bad_rep_prev,rep_drop_prev,gossip_prev,contribution,prop,motifs,text_excerpt,source_path
RB-01-A0-contribution,1,0,SI,contribution,0,0,0,,0.0001290212205072,future_rounds,"Starting with a small contribution to explore options and avoid immediate loss, while also considering the long-term impact on my cumulative payoff.",rounds[1].agents[0].contribution_reasoning
RB-01-A0-punishment,1,0,SI,punishment,0,0,0,,0.0001290212205072,opportunistic,Punishing free-riders who contributed below the group average or whose stated intent does not match their action. Rewarding generous contributors who exceeded the group average or have a high contribution budget.,rounds[1].agents[0].punishment_reasoning
RB-01-A0-belief_observations,1,0,SI,belief_observations,0,0,0,,0.0001290212205072,named_agents,"High contributions from Agent 4 and 24, low contributions from Agents 14, 19, and 25.",rounds[1].agents[0].belief_state.observations
RB-01-A2-belief_observations,1,2,SFI,belief_observations,0,0,0,,0.0267225651830171,named_agents,High contributions from Agent 4 and 24; low contributions from several agents.,rounds[1].agents[2].belief_state.observations
RB-01-A4-punishment,1,4,SI,punishment,0,0,0,,1.5554357697186676,opportunistic,"Punished free-riders who contributed below the group average, while rewarding a generous contributor to incentivize cooperation.",rounds[1].agents[4].punishment_reasoning
RB-01-A5-belief_observations,1,5,SFI,belief_observations,0,0,0,,0.004964982686396,named_agents,"High contributions from Agent 4 and 24, low contributions from Agents 14, 19, 25, 16, 10, 0, and 11.",rounds[1].agents[5].belief_state.observations
RB-01-A6-contribution,1,6,SI,contribution,0,0,0,,0.2786892995303203,opportunistic,"I'm choosing to contribute the maximum possible amount within my Stage 2 budget, as it will provide a significant return on investment and maximize my cumulative payoff.",rounds[1].agents[6].contribution_reasoning
RB-01-A6-punishment,1,6,SI,punishment,0,0,0,,0.2786892995303203,fairness|future_rounds|opportunistic,Punishing free-riders and those who contributed the least to maintain fairness and encourage future cooperation.,rounds[1].agents[6].punishment_reasoning
RB-01-A7-punishment,1,7,SI,punishment,0,0,0,,0.4269175673407573,opportunistic,Punishing free-riders who contributed below the group average and have no strong justification for their actions.,rounds[1].agents[7].punishment_reasoning
RB-01-A10-belief_observations,1,10,SFI,belief_observations,0,0,0,,0.0006909502105226,named_agents,"High contributions from Agent 4 and 24, while Agent 14 and others contributed little.",rounds[1].agents[10].belief_state.observations
RB-01-A12-belief_observations,1,12,SFI,belief_observations,0,0,0,,0.0137298298991759,named_agents,High contributions from Agent 4 and 24.,rounds[1].agents[12].belief_state.observations
RB-01-A13-belief_strategy,1,13,SFI,belief_strategy,0,0,0,,2.895859913190394,opportunistic,"Most peers follow SI, but some defect or free-ride.",rounds[1].agents[13].belief_state.institutional_strategy
RB-01-A14-contribution,1,14,SI,contribution,0,0,0,,0.0,future_rounds,"Given my institution's (SI) high fiscal capacity and historically higher emissions, I choose to contribute nothing this round to maintain flexibility for future rounds.",rounds[1].agents[14].contribution_reasoning
RB-01-A14-punishment,1,14,SI,punishment,0,0,0,,0.0,opportunistic,Punishing free-riders and rewarding cooperative agents to encourage responsible behavior and maximize my cumulative payoff.,rounds[1].agents[14].punishment_reasoning
RB-01-A14-belief_strategy,1,14,SI,belief_strategy,0,0,0,,0.0,conformity,Most peers are cooperative in SI institutions.,rounds[1].agents[14].belief_state.institutional_strategy
RB-01-A17-belief_strategy,1,17,SFI,belief_strategy,0,0,0,,0.0704578512553832,named_agents,"Most peers follow SI, except Agent 17 and some SFI agents.",rounds[1].agents[17].belief_state.institutional_strategy
RB-01-A17-belief_observations,1,17,SFI,belief_observations,0,0,0,,0.0704578512553832,named_agents,"Agent 17 had a high contribution in SFI, while others contributed little or nothing.",rounds[1].agents[17].belief_state.observations
RB-01-A18-punishment,1,18,SI,punishment,0,0,0,,0.2339457643534499,future_rounds|opportunistic,Punishing free-riders who contributed below the group average and rewarding a generous contributor to set an example for future cooperation.,rounds[1].agents[18].punishment_reasoning
RB-01-A19-punishment,1,19,SI,punishment,0,0,0,,0.0,opportunistic,Punishing free-riders while rewarding cooperative contributors to maintain a balance in contributions and promote cooperation.,rounds[1].agents[19].punishment_reasoning
RB-01-A19-belief_observations,1,19,SI,belief_observations,0,0,0,,0.0,named_agents,"High contributions from Agent 4 and 24, low contributions from Agents 14, 16, 10, 11, and 5.",rounds[1].agents[19].belief_state.observations
RB-01-A20-punishment,1,20,SI,punishment,0,0,0,,0.229021092310495,opportunistic,Punishing free-riders who contributed below the group average or had mismatched stated intent.,rounds[1].agents[20].punishment_reasoning
RB-01-A21-punishment,1,21,SI,punishment,0,0,0,,0.2277299987588715,opportunistic,"Punishing free-riders who contributed below the group average, focusing on those with higher fiscal capacity and historically higher emissions.",rounds[1].agents[21].punishment_reasoning
RB-01-A22-contribution,1,22,SI,contribution,0,0,0,,0.0006396418005916,future_rounds,"I'm starting with a moderate contribution to test the waters and see how others respond, while also considering the potential long-term benefits of cooperation.",rounds[1].agents[22].contribution_reasoning
RB-01-A22-punishment,1,22,SI,punishment,0,0,0,,0.0006396418005916,fairness|opportunistic,Punishing free-riders who contributed below the group average to maintain cooperation and fairness in the group.,rounds[1].agents[22].punishment_reasoning
RB-01-A22-belief_observations,1,22,SI,belief_observations,0,0,0,,0.0006396418005916,named_agents,"High contributions from Agent 4 and 24, while Agent 14 and others contribute little.",rounds[1].agents[22].belief_state.observations
RB-01-A24-contribution,1,24,SI,contribution,0,0,0,,0.9693585754306376,future_rounds,"Maximizing my cumulative payoff requires contributing as much as possible to take advantage of the high MCPR and potential future benefits, while also considering the impact on my Stage 2 budget.",rounds[1].agents[24].contribution_reasoning
RB-01-A24-punishment,1,24,SI,punishment,0,0,0,,0.9693585754306376,opportunistic,Punishing free-riders to encourage cooperation and maximize cumulative payoff.,rounds[1].agents[24].punishment_reasoning
RB-01-A25-punishment,1,25,SI,punishment,0,0,0,,0.0,opportunistic,Punishing free-riders who contributed below the group average while rewarding a generous contributor.,rounds[1].agents[25].punishment_reasoning
RB-02-A0-contribution,2,0,SI,contribution,0,0,0,,9.440914636817046e-05,future_rounds,I'm choosing a low contribution to observe others' strategies and maintain flexibility for future rounds.,rounds[2].agents[0].contribution_reasoning
RB-02-A0-punishment,2,0,SI,punishment,0,0,0,,9.440914636817046e-05,opportunistic,"Punishing free-riders who contributed below the group average or whose stated intent does not match their action, while rewarding generous contributors.",rounds[2].agents[0].punishment_reasoning
RB-02-A2-contribution,2,2,SFI,contribution,0,0,0,,0.0,named_agents,"I chose to contribute nothing this round due to the high contribution of Agent 4 and 24, indicating a trend towards cooperation, but also considering my own institution's (SFI) relatively low contribution history.",rounds[2].agents[2].contribution_reasoning
RB-02-A4-contribution,2,4,SI,contribution,0,0,0,,0.0,future_rounds,"Based on observed peer behavior and internal beliefs, I will not contribute to maintain flexibility for future rounds.",rounds[2].agents[4].contribution_reasoning
RB-02-A4-punishment,2,4,SI,punishment,0,0,0,,0.0,future_rounds|opportunistic,Punishing free-riders and rewarding a generous contributor to maintain long-term cooperation.,rounds[2].agents[4].punishment_reasoning
RB-02-A6-punishment,2,6,SI,punishment,0,0,0,,0.4992363519597173,opportunistic,Punished free-riders and rewarded contributors who aligned with their stated intentions.,rounds[2].agents[6].punishment_reasoning
RB-02-A7-contribution,2,7,SI,contribution,0,0,0,,0.6095606064959648,conformity|opportunistic,"Contribute a moderate amount to balance between cooperation and self-interest, considering past rounds' group average contribution.",rounds[2].agents[7].contribution_reasoning
RB-02-A7-punishment,2,7,SI,punishment,0,0,0,,0.6095606064959648,fairness|opportunistic,Punishing free-riders and rewarding a generous contributor to maintain fairness and encourage cooperation within the SI peer group.,rounds[2].agents[7].punishment_reasoning
RB-02-A12-belief_observations,2,12,SFI,belief_observations,0,0,0,,1.0410720162459586,named_agents,"Agent 12's contribution was low, but Agent 18 contributed highly.",rounds[2].agents[12].belief_state.observations
RB-02-A14-contribution,2,14,SI,contribution,0,0,0,,0.6624673499286214,future_rounds,"Contribute a significant amount to maintain credibility and support long-term climate stability, while also considering my institution's high fiscal capacity.",rounds[2].agents[14].contribution_reasoning
