round_number,agent_id,institution_choice,contribution,prop,gossip_prev,bad_rep_prev,flags,evidence_id,excerpt
4,0,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-04-A0-contribution,"Given my high current wealth and no significant past contributions, I choose to contribute nothing this round."
20,0,SI,25219266.0,0.4900211255900669,0,0,free_ride_language_positive_contrib,RB-20-A0-contribution,"My contribution is equal to the previous round's group average, as I want to maintain consistency and avoid being a free-rider."
4,1,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-04-A1-contribution,I choose not to contribute due to low marginal return and high vulnerability index.
13,1,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-13-A1-contribution,"Based on my institution's historical contributions and previous rounds' data, I choose not to contribute significantly this round."
19,1,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-19-A1-contribution,I choose to contribute zero due to low marginal return and high vulnerability index.
27,1,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-27-A1-contribution,I choose to contribute nothing due to low marginal return and high vulnerability index.
2,2,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-02-A2-contribution,"I chose to contribute nothing this round due to the high contribution of Agent 4 and 24, indicating a trend towards cooperation, but also considering my own institution's (SFI) relatively low contribution history."
4,2,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-04-A2-contribution,"I chose not to contribute due to the high marginal return and past low contributions from peers, which suggests that contributing will have a minimal impact on my payoff."
15,2,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-15-A2-contribution,"I choose to contribute nothing due to low marginal return and high vulnerability index, which aligns with my previous contributions."
17,2,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-17-A2-contribution,"I choose to contribute zero due to low marginal return and high vulnerability index, aligning with my institution's typical behavior of contributing more when it serves their interests."
19,2,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-19-A2-contribution,"The marginal return to me per unit contributed is low, and contributing zero aligns with my previous behavior."
20,2,SFI,17327707.0,4.651415538926543,1,1,free_ride_language_positive_contrib,RB-20-A2-contribution,Contributing the maximum amount is optimal due to the high MCPR and no free-rider incentives.
27,2,SFI,0.0,0.0,1,1,cooperative_language_zero_contrib,RB-27-A2-contribution,I choose to contribute nothing due to low marginal return and high vulnerability index.
28,2,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-28-A2-contribution,"The marginal return to me per unit contributed is low, and contributing nothing aligns with my previous actions and stated intent."
2,3,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-02-A3-contribution,I choose to contribute nothing due to the high marginal return to me per unit contributed and my institution's past behavior of low contributions.
3,3,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-03-A3-contribution,"Based on previous rounds' data, I notice that SFI members tend to contribute less than SI members, and since my institution is SFI, I choose not to contribute this round."
6,3,SFI,388814.0,0.3692603959963498,0,0,free_ride_language_positive_contrib,RB-06-A3-contribution,"The group average contribution from previous rounds is high, so I'm contributing a similar amount to maintain cooperation and avoid being seen as a free-rider."
10,3,SFI,533585.0,0.3098163155324677,0,1,free_ride_language_positive_contrib,RB-10-A3-contribution,Contribute at the group average to maximize cumulative payoff and avoid standing out as a free-rider.
12,3,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-12-A3-contribution,"I choose to contribute zero due to low marginal return and high vulnerability index, consistent with my institution's typical behavior."
28,3,SFI,5000000.0,0.4208075512361685,0,0,free_ride_language_positive_contrib,RB-28-A3-contribution,"Based on previous rounds' data, I expect a mix of cooperative and free-riding behavior from other agents."
2,4,SI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-02-A4-contribution,"Based on observed peer behavior and internal beliefs, I will not contribute to maintain flexibility for future rounds."
4,5,SFI,0.0,0.0,0,0,cooperative_language_zero_contrib,RB-04-A5-contribution,I chose not to contribute due to low marginal return and past contributions from peers.
