round_number,voter,voter_group,voter_institution,vote_index,voted_rule,voted_new_value,voted_proposer,vote_reason,same_group_as_proposer
5,0,developed,SI,1,SUBSIDY_FRACTION,0.5,24,"Increasing the subsidy fraction to 0.5 will provide a stronger incentive for cooperation and reduce punishment, promoting a more sustainable community.",1
5,1,developing,SFI,0,SUBSIDY_TOP_N,5.0,3,"I choose to increase the number of top contributors who share the subsidy pool, as it may promote cooperation and trust among more community members.",1
5,2,developing,SFI,0,SUBSIDY_TOP_N,5.0,3,"I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.",1
5,3,developing,SFI,0,SUBSIDY_TOP_N,5.0,3,Increasing the number of top contributors who share the subsidy pool to 5 will incentivize cooperation and trust by rewarding a broader range of community members for their contributions.,1
5,4,developed,SI,0,SUBSIDY_TOP_N,5.0,3,"I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.",0
5,5,developing,SFI,0,SUBSIDY_TOP_N,5.0,3,"I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.",1
5,6,developed,SI,0,SUBSIDY_TOP_N,5.0,3,"I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.",0
5,7,developed,SI,0,SUBSIDY_TOP_N,5.0,3,"I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.",0
5,8,developing,SFI,0,SUBSIDY_TOP_N,5.0,3,"I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.",1
5,9,developing,SFI,0,SUBSIDY_TOP_N,5.0,3,"I choose to increase the number of top contributors who share the subsidy pool, as it may foster a more inclusive and cooperative community.",1
5,10,developing,SFI,0,SUBSIDY_TOP_N,5.0,3,"I choose to increase the number of top contributors who share the subsidy pool, as it may foster a more inclusive and cooperative community.",1
5,11,developing,SFI,0,SUBSIDY_TOP_N,5.0,3,"I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.",1
5,12,developing,SFI,1,SUBSIDY_FRACTION,0.5,24,"Increasing the subsidy fraction to 0.5 may promote cooperation and reduce punishment, which could lead to a more sustainable community.",0
