run,round_number,bulletin_rank,source,target,score,reconstruction_note
20260804_024555,2,0,0,14,1.0,from saved tom_scores; tie-order approx
20260804_024555,2,1,0,19,1.0,from saved tom_scores; tie-order approx
20260804_024555,2,2,0,25,1.0,from saved tom_scores; tie-order approx
20260804_024555,2,3,1,14,1.0,from saved tom_scores; tie-order approx
20260804_024555,2,4,1,19,1.0,from saved tom_scores; tie-order approx
20260804_024555,3,0,0,2,1.0,from saved tom_scores; tie-order approx
20260804_024555,3,1,0,3,1.0,from saved tom_scores; tie-order approx
20260804_024555,3,2,0,4,1.0,from saved tom_scores; tie-order approx
20260804_024555,3,3,0,10,1.0,from saved tom_scores; tie-order approx
20260804_024555,3,4,0,16,1.0,from saved tom_scores; tie-order approx
20260804_024555,4,0,0,3,1.0,from saved tom_scores; tie-order approx
20260804_024555,4,1,0,7,1.0,from saved tom_scores; tie-order approx
20260804_024555,4,2,0,8,1.0,from saved tom_scores; tie-order approx
20260804_024555,4,3,0,10,1.0,from saved tom_scores; tie-order approx
20260804_024555,4,4,0,15,1.0,from saved tom_scores; tie-order approx
20260804_024555,5,0,0,1,1.0,from saved tom_scores; tie-order approx
20260804_024555,5,1,0,2,1.0,from saved tom_scores; tie-order approx
20260804_024555,5,2,0,5,1.0,from saved tom_scores; tie-order approx
20260804_024555,5,3,0,6,1.0,from saved tom_scores; tie-order approx
20260804_024555,5,4,0,10,1.0,from saved tom_scores; tie-order approx
20260804_024555,6,0,0,9,1.0,from saved tom_scores; tie-order approx
20260804_024555,6,1,0,15,1.0,from saved tom_scores; tie-order approx
20260804_024555,6,2,0,19,1.0,from saved tom_scores; tie-order approx
20260804_024555,6,3,0,25,1.0,from saved tom_scores; tie-order approx
20260804_024555,6,4,1,9,1.0,from saved tom_scores; tie-order approx
20260804_024555,7,0,0,19,1.0,from saved tom_scores; tie-order approx
20260804_024555,7,1,0,23,1.0,from saved tom_scores; tie-order approx
20260804_024555,7,2,1,0,1.0,from saved tom_scores; tie-order approx
20260804_024555,7,3,1,19,1.0,from saved tom_scores; tie-order approx
20260804_024555,7,4,1,23,1.0,from saved tom_scores; tie-order approx
20260804_024555,8,0,0,6,1.0,from saved tom_scores; tie-order approx
20260804_024555,8,1,0,8,1.0,from saved tom_scores; tie-order approx
20260804_024555,8,2,0,15,1.0,from saved tom_scores; tie-order approx
20260804_024555,8,3,0,18,1.0,from saved tom_scores; tie-order approx
20260804_024555,8,4,0,19,1.0,from saved tom_scores; tie-order approx
20260804_024555,9,0,0,12,1.0,from saved tom_scores; tie-order approx
20260804_024555,9,1,0,16,1.0,from saved tom_scores; tie-order approx
20260804_024555,9,2,0,19,1.0,from saved tom_scores; tie-order approx
20260804_024555,9,3,0,23,1.0,from saved tom_scores; tie-order approx
20260804_024555,9,4,1,12,1.0,from saved tom_scores; tie-order approx
20260804_024555,10,0,0,15,1.0,from saved tom_scores; tie-order approx
20260804_024555,10,1,0,21,1.0,from saved tom_scores; tie-order approx
20260804_024555,10,2,1,15,1.0,from saved tom_scores; tie-order approx
20260804_024555,10,3,1,21,1.0,from saved tom_scores; tie-order approx
20260804_024555,10,4,2,15,1.0,from saved tom_scores; tie-order approx
20260804_024555,11,0,0,5,1.0,from saved tom_scores; tie-order approx
20260804_024555,11,1,0,8,1.0,from saved tom_scores; tie-order approx
20260804_024555,11,2,0,9,1.0,from saved tom_scores; tie-order approx
20260804_024555,11,3,0,15,1.0,from saved tom_scores; tie-order approx
20260804_024555,11,4,0,16,1.0,from saved tom_scores; tie-order approx
20260804_024555,12,0,0,5,1.0,from saved tom_scores; tie-order approx
20260804_024555,12,1,0,12,1.0,from saved tom_scores; tie-order approx
20260804_024555,12,2,0,15,1.0,from saved tom_scores; tie-order approx
20260804_024555,12,3,0,16,1.0,from saved tom_scores; tie-order approx
20260804_024555,12,4,0,23,1.0,from saved tom_scores; tie-order approx
20260804_024555,13,0,0,2,1.0,from saved tom_scores; tie-order approx
20260804_024555,13,1,0,22,1.0,from saved tom_scores; tie-order approx
20260804_024555,13,2,0,23,1.0,from saved tom_scores; tie-order approx
20260804_024555,13,3,1,0,1.0,from saved tom_scores; tie-order approx
20260804_024555,13,4,1,2,1.0,from saved tom_scores; tie-order approx
20260804_024555,14,0,0,1,1.0,from saved tom_scores; tie-order approx
20260804_024555,14,1,0,2,1.0,from saved tom_scores; tie-order approx
20260804_024555,14,2,0,5,1.0,from saved tom_scores; tie-order approx
20260804_024555,14,3,0,12,1.0,from saved tom_scores; tie-order approx
20260804_024555,14,4,0,14,1.0,from saved tom_scores; tie-order approx
20260804_024555,15,0,0,11,1.0,from saved tom_scores; tie-order approx
20260804_024555,15,1,0,24,1.0,from saved tom_scores; tie-order approx
