evidence_id,run,source_file,round_number,agent_id,agent_group,institution_choice,kind,action,contribution,reputation,shock_occurred,proposal_round,source_path,text,text_length
RB-01-A0-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,0,developed,SI,institution,institution_choice=SI,1000.0,5.0,0,0,rounds[1].agents[0].institution_reasoning,Climate/LDF mode defaults developed countries to the binding treaty.,68
RB-01-A0-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,0,developed,SI,contribution,contribution=1000.0,1000.0,5.0,0,0,rounds[1].agents[0].contribution_reasoning,"Starting with a small contribution to explore options and avoid immediate loss, while also considering the long-term impact on my cumulative payoff.",148
RB-01-A0-punishment,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,0,developed,SI,punishment,assigned_punish_total=3700.0,1000.0,5.0,0,0,rounds[1].agents[0].punishment_reasoning,Punishing free-riders who contributed below the group average or whose stated intent does not match their action. Rewarding generous contributors who exceeded the group average or have a high contribution budget.,212
RB-01-A0-deanonymized_punishment,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,0,developed,SI,deanonymized_punishment,assigned_punish_total=3700.0,1000.0,5.0,0,0,rounds[1].agents[0].deanonymized_punishment_reasoning,Punishing free-riders who contributed below the group average or whose stated intent does not match their action. Rewarding generous contributors who exceeded the group average or have a high contribution budget.,212
RB-01-A0-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,0,developed,SI,belief_strategy,institution_choice=SI,1000.0,5.0,0,0,rounds[1].agents[0].belief_state.institutional_strategy,Most peers follow SI strategy.,30
RB-01-A0-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,0,developed,SI,belief_observations,institution_choice=SI,1000.0,5.0,0,0,rounds[1].agents[0].belief_state.observations,"High contributions from Agent 4 and 24, low contributions from Agents 14, 19, and 25.",85
RB-01-A1-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,1,developing,SFI,institution,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[1].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A1-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,1,developing,SFI,contribution,contribution=10000.0,10000.0,5.0,0,0,rounds[1].agents[1].contribution_reasoning,I'm starting with a moderate contribution to balance immediate resilience needs and long-run cooperation incentives.,116
RB-01-A1-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,1,developing,SFI,belief_strategy,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[1].belief_state.institutional_strategy,"Most peers contribute moderately, except for a few high and low contributors.",77
RB-01-A1-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,1,developing,SFI,belief_observations,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[1].belief_state.observations,"High contributors in SI, low contributors in SFI.",49
