run,source_file,round_number,agent_id,agent_group,institution_choice,contribution,assigned_punishments_total,assigned_rewards_total,received_punishments,received_rewards,subsidy,ldf_contribution_round,ldf_payout_round,net_climate_transfer_round,climate_damage_taken_round,parsing_failures,rule_of_law_blocks,prior_contribution
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,0,developed,SI,1000.0,3700.0,24000.0,45.0,0.0,0.0,1000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,1,developing,SFI,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,2,developing,SFI,20000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,3,developing,SFI,500000.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,4,developed,SI,20000000.0,1700.0,300.0,0.0,20000.0,725.0,20000000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,5,developing,SFI,2000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,6,developed,SI,1580000.0,12.0,0.0,0.0,0.0,0.0,1580000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,7,developed,SI,1750000.0,264.0,0.0,0.0,8.0,0.0,1750000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,8,developing,SFI,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,9,developing,SFI,532700.0,0.0,0.0,0.0,0.0,0.0,532700.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,10,developing,SFI,500.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,11,developing,SFI,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,12,developing,SFI,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,13,developing,SFI,2000000.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,14,developed,SI,0.0,5.0,9.0,9348.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,15,developing,SFI,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,16,developing,SFI,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,17,developing,SFI,25410.0,0.0,0.0,0.0,0.0,0.0,25410.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,18,developed,SI,1200000.0,10.0,4.0,0.0,0.0,0.0,1200000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,19,developed,SI,0.0,45.0,8.0,8412.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,20,developed,SI,936560.0,3.0,0.0,0.0,0.0,0.0,936560.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,21,developed,SI,1200000.0,10.0,0.0,0.0,0.0,0.0,1200000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,22,developed,SI,3000.0,3.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,23,developing,SFI,33700.0,0.0,0.0,0.0,0.0,0.0,33700.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,24,developed,SI,4000000.0,6.0,0.0,0.0,6313.0,725.0,4000000.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,25,developed,SI,0.0,1500.0,2000.0,3969.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,0,developed,SI,1000.0,450.0,125.0,90.0,5.0,0.0,1000.0,0.0,0.0,0.0,0,0,1000.0
