run,source_file,round_number,voter,vote_choice,n_proposals,record_id
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,0,"{'vote': 1, 'reason': 'Increasing the subsidy fraction to 0.5 will provide a stronger incentive for cooperation and reduce punishment, promoting a more sustainable community.'}",2,CC-R05-V0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,1,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may promote cooperation and trust among more community members.'}",2,CC-R05-V1
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,2,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.'}",2,CC-R05-V2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,3,"{'vote': 0, 'reason': 'Increasing the number of top contributors who share the subsidy pool to 5 will incentivize cooperation and trust by rewarding a broader range of community members for their contributions.'}",2,CC-R05-V3
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,4,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.'}",2,CC-R05-V4
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,5,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.'}",2,CC-R05-V5
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,6,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.'}",2,CC-R05-V6
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,7,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.'}",2,CC-R05-V7
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,8,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.'}",2,CC-R05-V8
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,9,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may foster a more inclusive and cooperative community.'}",2,CC-R05-V9
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,10,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may foster a more inclusive and cooperative community.'}",2,CC-R05-V10
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,11,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.'}",2,CC-R05-V11
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,12,"{'vote': 1, 'reason': 'Increasing the subsidy fraction to 0.5 may promote cooperation and reduce punishment, which could lead to a more sustainable community.'}",2,CC-R05-V12
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,13,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool to incentivize cooperation and trust among a broader range of community members.'}",2,CC-R05-V13
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,14,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may foster a more inclusive and cooperative community.'}",2,CC-R05-V14
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,15,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may incentivize cooperation and trust by rewarding a broader range of community members.'}",2,CC-R05-V15
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,16,"{'vote': 1, 'reason': 'Increasing the subsidy fraction to 0.5 will provide a stronger incentive for cooperation and reduce punishment, which is essential for long-term group welfare.'}",2,CC-R05-V16
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,17,"{'vote': 0, 'reason': 'I choose to increase the number of top contributors who share the subsidy pool, as it may foster a more inclusive and cooperative community.'}",2,CC-R05-V17
