source_file,run_label,scenario,condition,seed,num_agents,num_rounds,round_number,agent_id,institution_choice,agent_group,strategy,contribution,stage1_payoff,stage2_payoff,payoff,cumulative_payoff,wealth,reputation,rank_numeric,rank_text,received_punishments,received_rewards,assigned_punishments_total,assigned_rewards_total,climate_damage_taken_round,climate_damage_taken_cumulative,ldf_contribution_round,ldf_payout_round,net_climate_transfer_round,vulnerability,historical_emissions,contribution_capacity,parsing_failures,rule_of_law_blocks,subsidy,trust_level_count,institutional_strategy
simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022.json,simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022,ldf,Full,1,26,30,1,0,SFI,developing,LLM,10000.0,450413.37142857147,0.0,450413.37142857147,494593.37142857147,494593.37142857147,5.0,20,20 out of 26,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,1.5,0.3,0.1,0,0,0.0,25,"Continue to contribute significantly and observe peer behavior, adjusting strategy as needed."
simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022.json,simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022,ldf,Full,1,26,30,1,1,SFI,developing,LLM,2000.0,458413.37142857147,0.0,458413.37142857147,492113.37142857147,492113.37142857147,5.0,21,21 out of 26,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,1.5,0.3,0.1,0,0,0.0,25,"Continue contributing to SFI, exploring potential for increased cooperation with agents 4 and 15."
simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022.json,simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022,ldf,Full,1,26,30,1,2,SI,developed,LLM,300360.0,2259677.3333333335,-81.0,2259596.3333333335,2863316.3333333335,2863316.3333333335,5.0,9,9 out of 26,87.0,6.0,15.0,5.0,0.0,0.0,300360.0,0.0,0.0,0.3,1.5,1.0,0,0,0.0,25,"Continue to explore the benefits of contributing as an SI institution, while being cautious of potential free-riders."
simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022.json,simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022,ldf,Full,1,26,30,1,3,SI,developed,LLM,300000.0,2260037.3333333335,-40.0,2259997.3333333335,2869157.3333333335,2869157.3333333335,5.0,8,8 out of 26,42.0,2.0,15.0,5.0,0.0,0.0,300000.0,0.0,0.0,0.3,1.5,1.0,0,0,0.0,25,"Continue exploring the SI institution, as it has yielded a high payoff this round."
simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022.json,simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022,ldf,Full,1,26,30,1,4,SFI,developing,LLM,1060.0,459353.37142857147,0.0,459353.37142857147,461473.37142857147,461473.37142857147,5.0,24,24 out of 26,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,0.0,0.0,1.5,0.3,0.1,0,0,0.0,25,"Continue to explore the SFI institution, as it seems to be yielding positive results. Consider adjusting contribution levels based on peer behavior."
simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022.json,simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022,ldf,Full,1,26,30,1,5,SI,developed,LLM,4000000.0,-1439962.6666666665,-62.0,-1440005.6666666665,3249994.3333333335,3249994.3333333335,5.0,5,5 out of 26,81.0,19.0,15.0,5.0,0.0,0.0,4000000.0,0.0,0.0,0.3,1.5,1.0,0,0,19.0,25,"Explore a more cooperative approach with SI institutions, as they seem to be performing well."
simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022.json,simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022,ldf,Full,1,26,30,1,6,SI,developed,LLM,1500000.0,1060037.3333333335,-59.0,1059978.3333333335,3439978.3333333335,3439978.3333333335,5.0,4,4 out of 26,60.0,1.0,15.0,5.0,0.0,0.0,1500000.0,0.0,0.0,0.3,1.5,1.0,0,0,0.0,25,Continue to contribute significantly and explore strategies for mitigating the impact of free-riding agents.
simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022.json,simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022,ldf,Full,1,26,30,1,7,SFI,developing,LLM,2000.0,458413.37142857147,0.0,458413.37142857147,483823.37142857147,483823.37142857147,5.0,22,22 out of 26,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,1.5,0.3,0.1,0,0,0.0,25,"Continue to contribute moderately and observe peer behavior, adjusting strategy as needed."
simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022.json,simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022,ldf,Full,1,26,30,1,8,SFI,developing,LLM,857.0,459556.37142857147,0.0,459556.37142857147,823056.3714285714,823056.3714285714,5.0,14,14 out of 26,0.0,0.0,0.0,0.0,0.0,0.0,857.0,0.0,0.0,1.5,0.3,0.1,0,0,0.0,25,"Continue contributing to SFI, as it seems to be a viable option for generating high payoffs."
simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022.json,simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260611_170022,ldf,Full,1,26,30,1,9,SFI,developing,LLM,200000.0,260413.37142857147,0.0,260413.37142857147,640473.3714285714,640473.3714285714,5.0,17,17 out of 26,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,1.5,0.3,0.1,0,0,0.0,25,"Continue to contribute significantly to SFI, as it appears to be a profitable institution."
