term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
high contribution peers,127,53,1.028550743592989,6.290181890559394
contributors follow strategy,84,3,3.4837357912652287,5.938604610100779
contribution peers strategy,48,4,2.631825855387305,5.06302433202753
contribute significant amount,51,11,1.6819716955093025,5.061440355499352
contributors mostly following,41,2,3.1640995724535212,4.379836034587742
mostly following strategy,40,2,3.1392635361758305,4.342922265340991
maximize cumulative payoff,50,20,1.063432869297575,4.020230906815089
chosen contribute significant,23,5,1.6698366099025233,3.3870147285451777
cumulative payoff contribution,19,3,1.9880302372588678,3.204709254364617
amount maximize payoff,16,2,2.2197658569982934,2.9663573510732504
follow selfish-institution strategy,17,1,2.968816010600757,2.8988032118453066
reward higher payoffs,16,4,1.5288514921524712,2.737796204962482
follow selfish-institutional strategy,16,4,1.5288514921524712,2.737796204962482
balances self-interest cooperate,14,1,2.774339075774014,2.692801416191292
contribution substantial amount,13,1,2.7001370893957732,2.614033462695171
previous group average,23,10,0.9770429434659906,2.580479813722476
low contributors penalized,13,3,1.6078895291277204,2.5138933389243134
contributors reward higher,13,3,1.6078895291277204,2.5138933389243134
mcpr previous contribution,14,4,1.3951114218385596,2.4633309015836304
high mcpr previous,14,4,1.3951114218385596,2.4633309015836304
maximize payoff considering,11,2,1.8446116879225336,2.404867494271944
peers institution strategy,12,3,1.5277619763148929,2.3701480894750713
maximizing cumulative payoff,12,3,1.5277619763148929,2.3701480894750713
considering past contribution,10,1,2.437556767551464,2.3347568970732895
strategy high contribution,10,1,2.437556767551464,2.3347568970732895
considering high mcpr,13,4,1.3209094354603188,2.312619051887589
following institution strategy,9,1,2.332158415944975,2.2225281426937986
contribution balances self-interest,9,1,2.332158415944975,2.2225281426937986
institution typical strategy,9,1,2.332158415944975,2.2225281426937986
peers follow selfish-institution,9,1,2.332158415944975,2.2225281426937986
reward low contributors,20,10,0.8368988994700111,2.1617637791430395
contributors reward low,20,10,0.8368988994700111,2.1617637791430395
peers follow selfish-institutional,9,2,1.643845126855343,2.107320177247094
