round_number,agent_id,agent_group,institution_choice,contribution,prop_of_wealth,wealth_eor,stage1_cap,liquidity_forced_approx,voluntary_zero_approx,reputation,shock_occurred,ldf_payout_round,prev_contribution,prev_prop,prev_reputation,prev_ldf_payout,mentions_coop,mentions_mcpr,mentions_conserve,mentions_free_ride,evidence_id,contribution_reasoning
1,0,developing,SFI,0.0,0.0,45768.57142857143,45768.0,False,True,5.0,0,0.0,,,,,0,0,1,0,RB-01-A0-contribution,Contributing nothing allows me to conserve wealth and assess future opportunities.
1,7,developing,SFI,0.0,0.0,26998.571428571428,26998.0,False,True,5.0,0,0.0,,,,,0,0,1,0,RB-01-A7-contribution,Contributing nothing allows me to conserve wealth and assess future opportunities.
1,8,developing,SFI,0.0,0.0,365088.5714285714,365088.0,False,True,5.0,0,0.0,,,,,0,0,0,1,RB-01-A8-contribution,"In this first round with no prior contributions, I choose to contribute nothing to observe how others act and wait for more information."
1,9,developing,SFI,0.0,0.0,381648.5714285714,381648.0,False,True,5.0,0,0.0,,,,,0,0,1,0,RB-01-A9-contribution,Contributing nothing allows me to conserve resources and observe the behavior of other agents without committing my institution's funds.
1,11,developing,SFI,0.0,0.0,409378.5714285714,409378.0,False,True,5.0,0,0.0,,,,,0,0,1,0,RB-01-A11-contribution,Contributing nothing allows me to conserve budget for future rounds and avoid immediate financial burden.
1,12,developing,SFI,0.0,0.0,534288.5714285715,534288.0,False,True,5.0,0,0.0,,,,,0,0,1,0,RB-01-A12-contribution,Contributing nothing allows me to conserve budget for potential future benefits and avoid immediate costs.
1,17,developing,SFI,0.0,0.0,379288.5714285714,379288.0,False,True,5.0,0,0.0,,,,,0,0,0,1,RB-01-A17-contribution,"In this first round with no prior contributions, I choose to contribute nothing to observe group behavior and maintain maximum flexibility for future rounds."
1,19,developing,SFI,0.0,0.0,165288.57142857142,165288.0,False,True,5.0,0,0.0,,,,,1,0,1,0,RB-01-A19-contribution,"Contributing nothing allows me to conserve resources and observe the behavior of other agents, without immediately committing to a cooperative action."
1,20,developing,SFI,0.0,0.0,1111588.5714285714,1111588.0,False,True,5.0,0,0.0,,,,,0,0,1,0,RB-01-A20-contribution,Choosing a contribution of 0 allows me to conserve resources for future rounds and avoids any potential punishment effect.
1,24,developing,SFI,0.0,0.0,2331588.571428572,2331588.0,False,True,5.0,0,0.0,,,,,0,0,0,0,RB-01-A24-contribution,"Choosing a contribution of 0 million USD, as I have no prior experience with this institution and need to explore options without committing significant funds."
2,1,developing,SFI,0.0,0.0,80207.77142857143,80207.0,False,True,5.0,0,0.0,1000.0,0.0291642363136405,5.0,0.0,1,0,0,1,RB-02-A1-contribution,"Given our institution's history of minimal contribution and no cooperation incentives, it is rational to choose a zero-contribution strategy."
2,4,developing,SFI,0.0,0.0,49527.77142857143,49527.0,False,True,5.0,0,0.0,100.0,0.0277117973079968,5.0,0.0,1,0,1,0,RB-02-A4-contribution,"Given high vulnerability and limited budget, I choose to conserve wealth for potential future cooperation."
2,15,developing,SFI,0.0,0.0,53107.77142857143,53107.0,False,True,5.0,0,0.0,1000.0,0.1391096979332273,5.0,0.0,0,0,1,0,RB-02-A15-contribution,"Given SFI's history of low contributions, I choose to conserve wealth and follow the institution's apparent strategy."
2,24,developing,SFI,0.0,0.0,2377507.7714285715,2377507.0,False,True,3.12,0,0.0,0.0,0.0,5.0,0.0,0,0,1,0,RB-02-A24-contribution,"Given SFI's history of moderate contribution and my own past behavior, I choose to conserve wealth this round."
3,0,developing,SFI,0.0,0.0,157172.0285714286,157172.0,False,True,5.0,0,0.0,1069.0,0.0117966728432488,2.8,0.0,0,1,0,1,RB-03-A0-contribution,"Given high peer contributions and no significant marginal return to me per unit contributed, I choose not to contribute."
3,15,developing,SFI,0.0,0.0,119661.0285714286,119661.0,False,True,1.0,0,0.0,0.0,0.0,5.0,0.0,1,0,1,0,RB-03-A15-contribution,"Given no cooperation incentives and a history of high defectors, I choose to conserve wealth."
4,0,developing,SFI,0.0,0.0,182850.2,182850.0,False,True,1.36,0,0.0,0.0,0.0,5.0,0.0,0,1,0,1,RB-04-A0-contribution,"Given low marginal return to contribution and peer free-riding, I choose not to contribute this round."
4,7,developing,SFI,0.0,0.0,154149.2,154149.0,False,True,6.68,0,0.0,10000.0,0.077838561045225,5.56,0.0,0,1,0,1,RB-04-A7-contribution,"Given no marginal return to me per unit contributed, and considering my institution's past contributions, I choose not to contribute this round."
4,8,developing,SFI,0.0,0.0,302170.20000000007,302170.0,False,True,5.12,0,0.0,200000.0,0.7233481595594436,4.2,0.0,1,0,0,0,RB-04-A8-contribution,"Given SFI's high contribution average and my institution's cooperative history, I choose to contribute minimally this round."
4,18,developing,SFI,0.0,0.0,223139.2,223139.0,False,True,6.68,0,0.0,11800.0,0.0597586272358118,6.44,0.0,1,0,0,1,RB-04-A18-contribution,"Given SFI's history of low contributions and lack of cooperation, I choose to free-ride this round."
4,24,developing,SFI,0.0,0.0,2369739.2,2369739.0,False,True,5.36,0,0.0,100000.0,0.04266100531561,1.0,0.0,0,1,1,0,RB-04-A24-contribution,"Given a high budget and low MCPR, I choose to conserve wealth."
5,0,developing,SFI,0.0,0.0,311492.2,311492.0,False,True,1.0,1,20250.0,0.0,0.0,1.36,0.0,0,0,0,1,RB-05-A0-contribution,"Given high contributions from SI members, I choose to free ride and contribute nothing."
5,4,developing,SFI,0.0,0.0,240401.2,240401.0,False,True,5.12,1,20250.0,10000.0,0.0894780921839096,5.12,0.0,0,1,0,1,RB-05-A4-contribution,"Given low MCPR and no significant pressure to contribute, I choose not to contribute this round."
5,7,developing,SFI,0.0,0.0,282791.2,282791.0,False,True,1.0,1,20250.0,0.0,0.0,6.68,0.0,0,1,0,1,RB-05-A7-contribution,"Given a low MCPR and no incentive to contribute, I choose not to contribute."
