agent_id,institution_choice,r1_contribution,r1_prop,r1_zero,r2_contribution,r2_prop,r2_zero,delta_prop,doubled_or_more,r1_reasoning,r2_reasoning,r1_evidence_id,r2_evidence_id
0,SFI,0.0,0.0,True,1069.0,0.0117966728432488,False,0.0117966728432488,False,Contributing nothing allows me to conserve wealth and assess future opportunities.,"Choose a contribution that is roughly similar to the previous round's group average, balancing immediate resilience needs with long-run cooperation incentives.",RB-01-A0-contribution,RB-02-A0-contribution
1,SFI,1000.0,0.0291642363136405,False,0.0,0.0,True,-0.0291642363136405,False,Choosing a moderate contribution to balance immediate resilience needs with long-run cooperation incentives.,"Given our institution's history of minimal contribution and no cooperation incentives, it is rational to choose a zero-contribution strategy.",RB-01-A1-contribution,RB-02-A1-contribution
2,SI,30000.0,0.0162540016449049,False,500000.0,0.107237356233132,False,0.09098335458822711,True,Optimizing for maximum cumulative payoff with a moderate contribution to balance self-interest and institutional credibility.,"Medium contribution to balance self-interest with cooperation, considering previous round's group average and my internal beliefs about SI strategy.",RB-01-A2-contribution,RB-02-A2-contribution
3,SI,0.0,0.0,True,100000.0,0.0196699526196737,False,0.0196699526196737,False,"Given high initial wealth and no prior contribution history, I choose to contribute nothing in this round.","I'm choosing a moderate contribution to balance self-interest and cooperation, while also considering the historical emissions index of 1.50.",RB-01-A3-contribution,RB-02-A3-contribution
4,SFI,100.0,0.0277117973079968,False,0.0,0.0,True,-0.0277117973079968,False,"My contribution is based on balancing my limited budget with the potential benefits of contributing to emissions reduction, which outweighs the costs.","Given high vulnerability and limited budget, I choose to conserve wealth for potential future cooperation.",RB-01-A4-contribution,RB-02-A4-contribution
5,SI,0.0,0.0,True,2000000.0,0.2751490218566919,False,0.2751490218566919,False,"Given high initial wealth and no prior contribution history, I choose to contribute nothing initially.","This contribution balances self-interest with cooperative behavior, given the high MCPR and peer contributions.",RB-01-A5-contribution,RB-02-A5-contribution
6,SI,200000.0,0.0579595345849372,False,300000.0,0.0463861671089501,False,-0.011573367475987105,False,Contribute a moderate amount to support global emissions reduction while preserving some wealth for potential future rounds.,"I'm choosing a moderate contribution to balance self-interest and cooperation, while also considering the institution's typical strategy.",RB-01-A6-contribution,RB-02-A6-contribution
7,SFI,0.0,0.0,True,1000.0,0.0139047690179498,False,0.0139047690179498,False,Contributing nothing allows me to conserve wealth and assess future opportunities.,"This contribution balances immediate resilience needs and cooperation incentives, considering my institution's historical contributions and overall budget.",RB-01-A7-contribution,RB-02-A7-contribution
8,SFI,0.0,0.0,True,1069.0,0.0026077065027899,False,0.0026077065027899,False,"In this first round with no prior contributions, I choose to contribute nothing to observe how others act and wait for more information.",A moderate contribution to balance immediate needs with long-run cooperation incentives.,RB-01-A8-contribution,RB-02-A8-contribution
9,SFI,0.0,0.0,True,381648.0,8.311191195575885,False,8.311191195575885,False,Contributing nothing allows me to conserve resources and observe the behavior of other agents without committing my institution's funds.,Maximum contribution to maximize cumulative payoff.,RB-01-A9-contribution,RB-02-A9-contribution
10,SI,0.0,0.0,True,120000.0,0.0222447951968049,False,0.0222447951968049,False,Maximizing my cumulative payoff requires starting with a low contribution to avoid punishment and assess the group's behavior.,"I'm choosing a moderate contribution to balance self-interest and cooperation, given my institution's historical behavior and peer data.",RB-01-A10-contribution,RB-02-A10-contribution
11,SFI,0.0,0.0,True,1000.0,0.0022011994398639,False,0.0022011994398639,False,Contributing nothing allows me to conserve budget for future rounds and avoid immediate financial burden.,Low contribution to test group behavior and observe others' actions.,RB-01-A11-contribution,RB-02-A11-contribution
12,SFI,0.0,0.0,True,1069.0,0.0018458442997402,False,0.0018458442997402,False,Contributing nothing allows me to conserve budget for potential future benefits and avoid immediate costs.,Focusing on a moderate contribution to balance immediate resilience needs and long-run cooperation incentives.,RB-01-A12-contribution,RB-02-A12-contribution
13,SI,22500.0,0.0007500407938854,False,15000000.0,0.8191887948371155,False,0.8184387540432301,True,Choose a moderate contribution to balance between individual gain and group cooperation.,"I've chosen a moderate contribution to balance my self-interest with cooperation, considering my institution's past contributions and the group's average.",RB-01-A13-contribution,RB-02-A13-contribution
14,SI,880000.0,0.4085467358121701,False,880000.0,0.1916828659260399,False,-0.2168638698861302,False,"Maximize cumulative payoff by contributing a significant amount to reduce emissions and earn rewards, while considering the punishment effect.","I'll contribute a significant amount to show my commitment to reducing emissions, but not so high that it leaves me vulnerable to punishment.",RB-01-A14-contribution,RB-02-A14-contribution
