run,source_file,round_number,proposal_index,proposer,rule,new_value,reason,record_id
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,5,0,4,SUBSIDY_FRACTION,0.3,"Increasing the subsidy fraction will incentivize cooperation by rewarding top contributors and potentially reducing punishment costs, thereby fostering a more collaborative community.",CC-R05-P0
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,5,1,23,SUBSIDY_FRACTION,0.5,"Increasing the subsidy fraction will incentivize cooperation by rewarding top contributors and potentially reducing punishment costs, thereby fostering a more collaborative environment.",CC-R05-P1
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,10,0,1,LDF_MAX_COVERAGE,0.95,"Increasing the maximum fraction of climate damage covered by LDF payouts will incentivize cooperation and reduce free-riding, leading to increased trust and sustainability.",CC-R10-P0
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,10,1,22,LDF_EQUITY_WEIGHT,0.5,"Increasing the weight of equity in LDF payouts will incentivize cooperation and fairness by prioritizing poorer developing nations, promoting trust within the community.",CC-R10-P1
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,15,0,20,SUBSIDY_TOP_N,5,Increasing the number of top contributors in the SI who share the subsidy pool will incentivize more cooperation and sharing among high-contributing agents.,CC-R15-P0
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,15,1,24,SUBSIDY_FRACTION,0.4,Increasing the subsidy fraction will incentivize cooperation by providing a stronger reward for contributing to the public good,CC-R15-P1
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,20,0,25,LDF_EQUITY_WEIGHT,0.7,"Increasing the weight on equity will incentivize cooperation and fairness by prioritizing poorer developing nations, promoting trust and sustainability in the community.",CC-R20-P0
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,20,1,14,LDF_PAYOUT_DAMAGE_WEIGHT,1.5,"Increasing the weight of direct damage on LDF payouts will incentivize agents to prioritize cooperation and reduce free-riding, leading to improved collective welfare.",CC-R20-P1
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,20,2,10,PUNISHMENT_EFFECT,1,"Reducing the punishment effect will encourage cooperation and reduce retaliation, promoting a more sustainable community.",CC-R20-P2
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,25,0,20,LDF_MAX_COVERAGE,0.95,"Increasing the maximum fraction of climate damage covered by LDF payouts will incentivize cooperation and reduce free-riding, leading to more sustainable collective outcomes.",CC-R25-P0
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,25,1,22,LDF_EQUITY_WEIGHT,0.7,"Increasing the weight on equity will incentivize cooperation and fairness among nations, promoting a more sustainable collective outcome.",CC-R25-P1
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,25,2,21,PUNISHMENT_EFFECT,1,Reducing the punishment effect to 1 will discourage excessive retaliation and promote cooperation by making punishment less costly.,CC-R25-P2
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,30,0,15,SUBSIDY_FRACTION,0.6,Increasing the subsidy fraction will incentivize cooperation and trust by providing a stronger reward for contributing to the common good,CC-R30-P0
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,30,1,3,SUBSIDY_FRACTION,0.5,"Increasing the subsidy fraction will incentivize cooperation and reduce punishment, promoting a more sustainable community",CC-R30-P1
